"TOA5","Daq-eolica2","CR6","1205","CR6.Std.01","CPU:2Anemometros-IER-CERTE.CR6","50526","WindMaster_B"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","Direccion_B_Avg","V_magnitud_B_Avg","WAxis_B_Avg","SP_B_Avg","ST_B_Avg","Status_B_Avg"
"TS","RN","","","","","","","",""
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-01-19 20:25:36",12577122,13.43,24.03,344.2,12.77,-0.196,347.3,26.26,0
"2018-01-19 20:25:37",12577123,13.41,24.03,345.1,13.43,0.335,347.2,26.12,0
"2018-01-19 20:25:38",12577124,13.42,24.03,341.4,13.02,0.303,347.2,26.12,0
"2018-01-19 20:25:39",12577125,13.42,24.03,342.9,12.7,0.426,347.2,26.19,0
"2018-01-19 20:25:40",12577126,13.42,24.02,344.8,12.47,-1.143,347.2,26.19,0
"2018-01-19 20:25:41",12577127,13.42,24.02,349.6,12.45,-0.663,347.3,26.26,0
"2018-01-19 20:25:42",12577128,13.42,24.02,349.5,11.47,-0.378,347.4,26.4,0
"2018-01-19 20:25:43",12577129,13.42,24.03,346.2,12.61,-0.514,347.3,26.26,0
"2018-01-19 20:25:44",12577130,13.43,24.02,347.2,12.91,-0.577,347.3,26.26,0
"2018-01-19 20:25:45",12577131,13.43,24.02,346.4,12.72,-0.298,347.3,26.33,0
"2018-01-19 20:25:46",12577132,13.43,24.02,347.6,11.87,-0.472,347.4,26.4,0
"2018-01-19 20:25:47",12577133,13.42,24.02,349.6,12.12,-0.341,347.3,26.26,0
"2018-01-19 20:25:48",12577134,13.42,24.02,346.1,12.48,-0.903,347.3,26.33,0
"2018-01-19 20:25:49",12577135,13.41,24.02,350.4,11.9,-1.1,347.4,26.4,0
"2018-01-19 20:25:50",12577136,13.41,24.02,353.2,12.27,-0.787,347.3,26.33,0
"2018-01-19 20:25:51",12577137,13.41,24.02,344,11.69,-1.062,347.3,26.33,0
"2018-01-19 20:25:52",12577138,13.42,24.02,343.2,11.11,-0.508,347.3,26.33,0
"2018-01-19 20:25:53",12577139,13.42,24.02,348,11.42,-0.201,347.3,26.33,0
"2018-01-19 20:25:54",12577140,13.42,24.02,349.6,11.76,-0.01,347.3,26.33,0
"2018-01-19 20:25:55",12577141,13.42,24.02,343.1,10.15,0.009,347.3,26.26,0
"2018-01-19 20:25:56",12577142,13.42,24.02,344.3,11.65,-0.379,347.2,26.19,0
"2018-01-19 20:25:57",12577143,13.42,24.02,345,11.45,-0.645,347.3,26.26,0
"2018-01-19 20:25:58",12577144,13.41,24.02,348.6,10.55,-0.088,347.3,26.33,0
"2018-01-19 20:25:59",12577145,13.42,24.02,342.8,11.47,-0.604,347.3,26.26,0
"2018-01-19 20:26:00",12577146,13.42,24.02,344.6,10.99,0.17,347.3,26.33,0
"2018-01-19 20:26:01",12577147,13.42,24.02,348.7,10.19,0.159,347.3,26.26,0
"2018-01-19 20:26:02",12577148,13.41,24.02,340.5,10.26,-0.374,347.3,26.26,0
"2018-01-19 20:26:03",12577149,13.42,24.02,339.6,9.53,-0.545,347.3,26.26,0
"2018-01-19 20:26:04",12577150,13.42,24.02,335.9,10.64,-0.388,347.2,26.19,0
"2018-01-19 20:26:05",12577151,13.42,24.02,341.2,11.12,0.186,347.3,26.26,0
"2018-01-19 20:26:06",12577152,13.41,24.02,341,10.01,-0.052,347.3,26.26,0
"2018-01-19 20:26:07",12577153,13.42,24.02,337.4,9.03,-0.047,347.3,26.26,0
"2018-01-19 20:26:08",12577154,13.42,24.02,342.5,9.47,0.377,347.3,26.26,0
"2018-01-19 20:26:09",12577155,13.42,24.02,339.7,8.87,-0.899,347.2,26.19,0
"2018-01-19 20:26:10",12577156,13.42,24.02,339,12.21,-0.795,347.2,26.12,0
"2018-01-19 20:26:11",12577157,13.4,24.02,334.6,13.95,-1.968,347.2,26.12,0
"2018-01-19 20:26:12",12577158,13.42,24.02,333.7,11.99,-1.315,347.3,26.33,0
