"TOA5","Daq-eolica2","CR6","1205","CR6.Std.01","CPU:2Anemometros-IER-CERTE.CR6","50526","WindMaster_B"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","Direccion_B_Avg","V_magnitud_B_Avg","WAxis_B_Avg","SP_B_Avg","ST_B_Avg","Status_B_Avg"
"TS","RN","","","","","","","",""
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-01-20 20:25:36",12663522,13.37,24.89,349,13.31,-1.816,347.6,26.81,0
"2018-01-20 20:25:37",12663523,13.37,24.89,351.4,13.63,-1.509,347.6,26.88,0
"2018-01-20 20:25:38",12663524,13.39,24.89,350.7,13.55,-0.804,347.6,26.81,0
"2018-01-20 20:25:39",12663525,13.41,24.89,348.7,12.66,-0.567,347.6,26.88,0
"2018-01-20 20:25:40",12663526,13.38,24.89,348.3,12.59,-1.016,347.6,26.74,0
"2018-01-20 20:25:41",12663527,13.39,24.89,349.8,12.24,-0.446,347.6,26.74,0
"2018-01-20 20:25:42",12663528,13.4,24.89,348.3,12.74,-0.959,347.6,26.74,0
"2018-01-20 20:25:43",12663529,13.4,24.89,350.5,11.64,-0.764,347.6,26.74,0
"2018-01-20 20:25:44",12663530,13.41,24.89,347.6,12.31,-0.573,347.5,26.67,0
"2018-01-20 20:25:45",12663531,13.41,24.89,346.2,12.51,-0.002,347.5,26.67,0
"2018-01-20 20:25:46",12663532,13.38,24.89,349.9,11.89,-0.164,347.5,26.6,0
"2018-01-20 20:25:47",12663533,13.38,24.89,354.4,11.94,-0.816,347.6,26.74,0
"2018-01-20 20:25:48",12663534,13.38,24.89,351.1,12.08,-0.668,347.6,26.74,0
"2018-01-20 20:25:49",12663535,13.4,24.89,350.2,11.72,-0.562,347.5,26.67,0
"2018-01-20 20:25:50",12663536,13.4,24.89,349.7,10.58,-0.633,347.5,26.67,0
"2018-01-20 20:25:51",12663537,13.4,24.89,350.6,11.66,-0.514,347.5,26.6,0
"2018-01-20 20:25:52",12663538,13.39,24.89,347.4,13.22,-0.378,347.5,26.6,0
"2018-01-20 20:25:53",12663539,13.39,24.89,347.9,14.01,-0.733,347.5,26.67,0
"2018-01-20 20:25:54",12663540,13.4,24.89,345.4,12.96,-0.277,347.5,26.67,0
"2018-01-20 20:25:55",12663541,13.4,24.89,348.2,12.28,-0.679,347.5,26.67,0
"2018-01-20 20:25:56",12663542,13.4,24.89,350,11.7,-0.274,347.5,26.67,0
"2018-01-20 20:25:57",12663543,13.39,24.89,346.4,11.43,0.05,347.5,26.67,0
"2018-01-20 20:25:58",12663544,13.4,24.89,346.5,11.54,0.148,347.5,26.67,0
"2018-01-20 20:25:59",12663545,13.4,24.89,346.2,10.97,-0.112,347.6,26.74,0
"2018-01-20 20:26:00",12663546,13.38,24.89,346.6,10.44,-0.156,347.5,26.6,0
"2018-01-20 20:26:01",12663547,13.38,24.89,346,10.61,0.093,347.5,26.67,0
"2018-01-20 20:26:02",12663548,13.4,24.89,350.7,11.18,-0.043,347.5,26.6,0
"2018-01-20 20:26:03",12663549,13.39,24.89,350.3,10.92,0.115,347.5,26.6,0
"2018-01-20 20:26:04",12663550,13.39,24.89,347.6,11.9,-0.427,347.5,26.6,0
"2018-01-20 20:26:05",12663551,13.39,24.89,347.8,12.9,0.247,347.5,26.67,0
"2018-01-20 20:26:06",12663552,13.38,24.89,344.5,13.62,-0.018,347.6,26.74,0
"2018-01-20 20:26:07",12663553,13.4,24.89,343.1,13.68,-0.372,347.6,26.74,0
"2018-01-20 20:26:08",12663554,13.39,24.89,345.6,13.98,-0.796,347.6,26.74,0
"2018-01-20 20:26:09",12663555,13.41,24.89,346.5,13.76,-0.476,347.6,26.88,0
"2018-01-20 20:26:10",12663556,13.41,24.89,346.2,14.19,-0.177,347.5,26.67,0
"2018-01-20 20:26:11",12663557,13.39,24.89,348.9,14.59,0.528,347.5,26.67,0
"2018-01-20 20:26:12",12663558,13.4,24.89,353.2,13.67,-0.001,347.6,26.81,0
